/storage/LabJob/Projects/PipelineBuild
wavs/common_voice_en_19551053.mp3.wav	111744
wavs/common_voice_en_19551055.mp3.wav	141696
wavs/common_voice_en_19551056.mp3.wav	71424
wavs/common_voice_en_21079673.mp3.wav	141312
wavs/common_voice_en_21079675.mp3.wav	112512
wavs/common_voice_en_21079676.mp3.wav	90240
wavs/common_voice_en_18511642.mp3.wav	74112
wavs/common_voice_en_18511643.mp3.wav	79872
wavs/common_voice_en_18511645.mp3.wav	153600
wavs/common_voice_en_3552080.mp3.wav	79104
wavs/common_voice_en_3552081.mp3.wav	71424
wavs/common_voice_en_19034680.mp3.wav	87552
wavs/common_voice_en_19034682.mp3.wav	103680
wavs/common_voice_en_19034683.mp3.wav	118656
wavs/common_voice_en_19372937.mp3.wav	86400
wavs/common_voice_en_19372938.mp3.wav	81792
wavs/common_voice_en_19372941.mp3.wav	92160
wavs/common_voice_en_677232.mp3.wav	82560
wavs/common_voice_en_20008518.mp3.wav	104064
wavs/common_voice_en_20008520.mp3.wav	134400
wavs/common_voice_en_20008521.mp3.wav	72192
